timestamp_ms,timestamp_sec,angle,distance_cm,speed_cmps,direction,threat,date_time
116,0.116,17,23,17.20,LEFT,WARNING,2025-11-09 12:14:42
176,0.176,19,28,84.70,LEFT,WARNING,2025-11-09 12:14:42
235,0.235,21,23,86.20,LEFT,WARNING,2025-11-09 12:14:42
294,0.294,23,23,0.00,LEFT,WARNING,2025-11-09 12:14:42
354,0.354,25,23,0.00,LEFT,WARNING,2025-11-09 12:14:42
412,0.412,27,23,0.00,LEFT,WARNING,2025-11-09 12:14:42
472,0.472,29,24,16.90,LEFT,WARNING,2025-11-09 12:14:42
531,0.531,31,28,69.00,LEFT,WARNING,2025-11-09 12:14:42
590,0.590,33,28,0.00,LEFT,WARNING,2025-11-09 12:14:42
650,0.650,35,23,84.70,LEFT,WARNING,2025-11-09 12:14:43
709,0.709,37,24,17.20,LEFT,WARNING,2025-11-09 12:14:43
769,0.769,39,24,0.00,LEFT,WARNING,2025-11-09 12:14:43
828,0.828,41,24,0.00,LEFT,WARNING,2025-11-09 12:14:43
886,0.886,43,24,0.00,LEFT,WARNING,2025-11-09 12:14:43
946,0.946,45,24,0.00,LEFT,WARNING,2025-11-09 12:14:43
1005,1.005,47,25,17.20,LEFT,WARNING,2025-11-09 12:14:43
1065,1.065,49,34,152.50,LEFT,WARNING,2025-11-09 12:14:43
1125,1.125,51,28,103.40,LEFT,WARNING,2025-11-09 12:14:43
1185,1.185,53,31,50.80,LEFT,WARNING,2025-11-09 12:14:43
1246,1.246,55,32,16.90,LEFT,WARNING,2025-11-09 12:14:43
1305,1.305,57,29,50.80,LEFT,WARNING,2025-11-09 12:14:43
1366,1.366,59,29,0.00,LEFT,WARNING,2025-11-09 12:14:43
1425,1.425,61,29,0.00,CENTER,WARNING,2025-11-09 12:14:43
1484,1.484,63,29,0.00,CENTER,WARNING,2025-11-09 12:14:43
1545,1.545,65,29,0.00,CENTER,WARNING,2025-11-09 12:14:43
1604,1.604,67,29,0.00,CENTER,WARNING,2025-11-09 12:14:43
1665,1.665,69,29,0.00,CENTER,WARNING,2025-11-09 12:14:44
1724,1.724,71,28,16.90,CENTER,WARNING,2025-11-09 12:14:44
1783,1.783,73,28,0.00,CENTER,WARNING,2025-11-09 12:14:44
1844,1.844,75,28,0.00,CENTER,WARNING,2025-11-09 12:14:44
1903,1.903,77,28,0.00,CENTER,WARNING,2025-11-09 12:14:44
1963,1.963,79,27,16.90,CENTER,WARNING,2025-11-09 12:14:44
2023,2.023,81,27,0.00,CENTER,WARNING,2025-11-09 12:14:44
2082,2.082,83,27,0.00,CENTER,WARNING,2025-11-09 12:14:44
2142,2.142,85,26,16.70,CENTER,WARNING,2025-11-09 12:14:44
2201,2.201,87,26,0.00,CENTER,WARNING,2025-11-09 12:14:44
2260,2.260,89,25,17.20,CENTER,WARNING,2025-11-09 12:14:44
2320,2.320,91,25,0.00,CENTER,WARNING,2025-11-09 12:14:44
2379,2.379,93,29,69.00,CENTER,WARNING,2025-11-09 12:14:44
2440,2.440,95,26,50.80,CENTER,WARNING,2025-11-09 12:14:44
2499,2.499,97,26,0.00,CENTER,WARNING,2025-11-09 12:14:44
2557,2.557,99,18,137.90,CENTER,WARNING,2025-11-09 12:14:44
2616,2.616,101,18,0.00,CENTER,WARNING,2025-11-09 12:14:44
2675,2.675,103,22,70.20,CENTER,WARNING,2025-11-09 12:14:45
2734,2.734,105,28,101.70,CENTER,WARNING,2025-11-09 12:14:45
2793,2.793,107,18,172.40,CENTER,WARNING,2025-11-09 12:14:45
2851,2.851,109,18,0.00,CENTER,WARNING,2025-11-09 12:14:45
2911,2.911,111,27,152.50,CENTER,WARNING,2025-11-09 12:14:45
2969,2.969,113,18,157.90,CENTER,WARNING,2025-11-09 12:14:45
3028,3.028,115,28,172.40,CENTER,WARNING,2025-11-09 12:14:45
3089,3.089,117,28,0.00,CENTER,WARNING,2025-11-09 12:14:45
3148,3.148,119,27,17.20,CENTER,WARNING,2025-11-09 12:14:45
3208,3.208,121,27,0.00,RIGHT,WARNING,2025-11-09 12:14:45
3268,3.268,123,29,33.90,RIGHT,WARNING,2025-11-09 12:14:45
3328,3.328,125,28,16.90,RIGHT,WARNING,2025-11-09 12:14:45
3387,3.387,127,25,51.70,RIGHT,WARNING,2025-11-09 12:14:45
3446,3.446,129,27,34.50,RIGHT,WARNING,2025-11-09 12:14:45
3507,3.507,131,28,16.70,RIGHT,WARNING,2025-11-09 12:14:45
3566,3.566,133,29,17.20,RIGHT,WARNING,2025-11-09 12:14:45
3625,3.625,135,27,34.50,RIGHT,WARNING,2025-11-09 12:14:45
3686,3.686,137,29,34.50,RIGHT,WARNING,2025-11-09 12:14:46
3745,3.745,139,29,0.00,RIGHT,WARNING,2025-11-09 12:14:46
3806,3.806,141,28,16.90,RIGHT,WARNING,2025-11-09 12:14:46
3865,3.865,143,29,16.90,RIGHT,WARNING,2025-11-09 12:14:46
3926,3.926,145,42,0.00,RIGHT,SAFE,2025-11-09 12:14:46
3987,3.987,147,42,0.00,RIGHT,SAFE,2025-11-09 12:14:46
4048,4.048,149,42,0.00,RIGHT,SAFE,2025-11-09 12:14:46
4110,4.110,151,43,16.40,RIGHT,SAFE,2025-11-09 12:14:46
4171,4.171,153,42,16.70,RIGHT,SAFE,2025-11-09 12:14:46
4233,4.233,155,41,16.40,RIGHT,SAFE,2025-11-09 12:14:46
4294,4.294,157,41,0.00,RIGHT,SAFE,2025-11-09 12:14:46
4356,4.356,159,43,32.80,RIGHT,SAFE,2025-11-09 12:14:46
4417,4.417,161,42,16.70,RIGHT,SAFE,2025-11-09 12:14:46
4478,4.478,163,43,16.70,RIGHT,SAFE,2025-11-09 12:14:46
4540,4.540,165,42,16.70,RIGHT,SAFE,2025-11-09 12:14:46
4601,4.601,165,42,0.00,RIGHT,SAFE,2025-11-09 12:14:46
